Model,Serial,Dispose License,Dispose License Name,Dispose License Expires,Dispose Trade Name,Dispose Address 1,Dispose Address 2,Dispose City,Dispose State,Dispose Postal,Dispose Country,Dispose Phone Number,Dispose Email Address,Dispose Shipment Tracking Number
DUB DUB 22,DD00001,158047077F17413,ALPHA OMEGA ARMAMENT LLC,2027-06-01,ALPHA OMEGA ARMAMENT,605 SCRUGGS ROAD,,RINGGOLD,GA,30736,US,4236821687,alphaomegaarmament@gmail.com,9400136106195343128424
DUB DUB 22,DD00002,159113078J60308,ALCOHOL TOBACCO & FIREARMS LLC,2028-09-01,ATF,4632 US-90,,PACE,FL,325710000,US,8508166550,thegoodatf@gmail.com,9400136106195343114489
DUB DUB 22,DD00003,435127077A09655,ARMORY 219 LLC,2027-01-01,,103-3 MORTHLAND DR,,VALPARAISO,IN,46383,US,2195617505,info@armory219.com,9400136106195343094156
DUB DUB 22,DD00004,825063076G14207,HULL FAMILY FIREARMS LLC,2026-07-01,,771 S MAIN ST,,HOMER CITY,PA,15748,US,8145535948,hullfamilyfirearmsllc@gmail.com,9400136106195343081064
DUB DUB 22,DD00005,157077077D09440,POLAR PINE ARMS LLC,2027-04-01,PTARMIGAN ARMAMENTS,1128 ROBERT P JEANES ROAD,,EASLEY,SC,29640,US,3176121519,polarpinearmsllc@gmail.com,9400136106195342965105
DUB DUB 22,DD00006,154117016J27201,"OLD DOMINION OPERATIONS, LLC",2026-09-01,OLD DOMINION ARMAMENT,408 W HIGH STREET,,SOUTH HILL,VA,23970,US,4342626196,zach.currin@odarms.com,9400136106195343069925
DUB DUB 22,DD00007,576201077M08567,HTOWN KUSTOM SERVICES LLC,2027-12-01,HTOWN FIREARMS KONNECTION & KUSTOM SERVICES,5600 NORTHWEST CENTRAL DRIVE SUITE 269,,HOUSTON,TX,77092,US,8324597201,info@htownfirearmskonnection.com,9400136106195343050633
DUB DUB 22,DD00008,574187076L13740,BIG MIKE'S OUTPOST LLC,2026-11-01,,218 E KINGSBURY ST,,SEGUIN,TX,78155,US,8303217858,mike@bigmikesoutpost.com,
DUB DUB 22,DD00009,986013018L17040,762 ARMAMENT LLC,2028-11-01,762 ARMAMENT,2622 S SALIDA DEL SOL,,MESA,AZ,85202,US,4802759627,762armament@gmail.com,9400136106195343037092
DUB DUB 22,DD00010,573047016G08801,"JUNG, BRANDON JOSEPH",2026-07-01,LPK OUTDOOR SPORTS,3106 EAGLE LANE,,ENID,OK,73703,US,5802377332,lpkoutdoorsports@gmail.com,9400136106195343016639
DUB DUB 22,DD00011,158185078D24124,"CREEKSIDE ARMORY, LLC",2028-04-01,,4030 LISKA CIR,,VALDOSTA,GA,31605,US,2296308664,cnichols.wnp@gmail.com,9400136106195342991432
DUB DUB 22,DD00012,573145016F08774,"POPLIN, BRIAN LEE",2026-06-01,BRIAN'S GUN SHOP,11520 S 257TH E AVE,,COWETA,OK,74429,US,9184868069,briansgun51@gmail.com,9400136106195342979324
DUB DUB 22,DD00013,987011077L05727,DESERT SAGE ARMORY LLC,2027-11-01,DESERT SAGE ARMS,787 W 2000 N,,WEST BOUNTIFUL,UT,84087,US,8015297449,DesertSageArmory@gmail.com,9400136106195344113405
DUB DUB 22,DD00014,982001078G05898,ADA ARMAMENTS LLC,2028-07-01,ADA ARMAMENTS,7305 S GLENRIDGE VIEW DR,,BOISE,ID,83709,US,2088636869,adaarmaments@gmail.com,9400136106195344103666
DUB DUB 22,DD00015,164109078L06261,RIVER ROAD MERCANTILE LLC,2028-11-01,THE ARMORY AT RIVER ROAD,410 WEST LARKIN I SMITH DRIVE,,POPLARVILLE,MS,39470,US,6019668561,riverroadmerc@gmail.com,9400136106195344091369
DUB DUB 22,DD00016,986013078B16552,FYN ENGRAVING AND COATINGS LLC,2028-02-01,FYN ARMAMENT,6183 SOUTH 255TH DR,,BUCKEYE,AZ,85326,US,6025296766,devin@fynengraving.com,9400136106195344080912
DUB DUB 22,DD00017,341145078D06523,"JP VENTURES OF MINNESOTA, LLC",2028-04-01,JP CUSTOM FIREARMS,1017 15TH AVENUE SOUTH,,SAINT CLOUD,MN,56301,US,7633609026,joelpeterson@joelpete.com,9400136106195343137907
