business_name,contact_name,email,phone,ein,business_address,city,state,zip,ffl_license_number,ffl_license_type,ffl_expiry,sot_license_type,sot_tax_year,sot_period_start,sot_period_end,sot_control_number,sot_receipt_date,tax_exempt,sales_tax_id,notes,tier,verified,created_at
1800GUNSANDAMMO,,,(800) 486-7497,,,Arlington,TX,76001,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
21:31 Arms LLC,,,(205) 543-6707,,,Morris,AL,35116,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
2nd Amendment,,,(575) 544-5157,,,Animas,NM,88020,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
3 ACES,,,(509) 862-4961,,,Spokane,WA,99201,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
3Gees Firearms,,,(561) 240-9506,,,Jupiter,FL,33458,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
3 Guy Supply,,,(513) 201-7398,,,Cincinnati,OH,45275,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"3MG Operations, LLC",,,(843) 798-2813,,,Myrtle Beach,SC,29572,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
3 Shots Firearms,,,(843) 264-0466,,,Olanta,SC,29114,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
417guns,,,(417) 886-4861,,,Springfield,MO,65801,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"5280 Tactical Solutions, LLC",,,(720) 238-7950,,,Englewood,CO,80110,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
54-17 Arms,,,(703) 249-5118,,,Amissville,VA,20106,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
911Tactical LLC,,,(570) 606-7488,,,Honesdale,PA,18431,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Aaction Transmission,,,(772) 621-7400,,,Port Saint Lucy,FL,34952,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
A-Advantage Firearms Co.,,,(412) 782-2213,,,Pittsburgh,PA,15201,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
AB Firearms,,,(812) 305-2503,,8615 NORTHFIELD DRIVE,EVANSVILLE,IN,47711,4-35-163-01-8B-10396,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Preferred,false,2026-03-29 04:40:48.567356+00
A&B Pawn,,,(479) 474-9636,,,Van Buren,AR,72956,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Acadia Arms,,,(207) 479-7734,,,Ellsworth,ME,04605,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Accurate Firearms,,,(616) 788-8261,,,Fenwick,MI,48834,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Accu Tac Arms,,,(612) 554-7427,,,Elko,MN,56443,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
A&C Firearms,,,(254) 983-4417,,,Heidenheimer,TX,76533,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ACTION ARMS,,,(337) 287-4890,,,SULPHUR,LA,70663,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Adelbridge & Co.,,,(210) 265-1146,,7080 SAN PEDRO AVE,SAN ANTONIO,TX,78216,5-74-029-07-6G-10952,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Preferred,false,2026-03-29 04:40:48.567356+00
Adrenaline arms llc,,,(740) 383-6006,,,Marion,OH,43301,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Advantage Pawn and Sports,,,(435) 283-6663,,,Ephraim,UT,84627,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Aesir Arms LLC,,,(772) 285-6370,,,Stuart,FL,34994,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Alan's Armory,,,(706) 304-9002,,,Cataula,GA,31804,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Alice Firearms,,,(435) 656-4590,,,St. George,UT,84790,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Allegiant Rifleworks,,,(214) 762-0117,,,McKinney,TX,75069,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ALL SHOOTERS TACTICAL TACTICAL INC,,,(703) 583-1911,,,Woodbridge,VA,22191,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"All Things Projectile, LLC",,,(406) 531-2828,,,Powell,WY,82435,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ALP FIREARMS LLC / M & J FIREARMS,,,(317) 747-4741,,,Fortville,IN,46040,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Alpha 1 Concepts,,,(770) 676-1589,,,Kennesaw,GA,30144,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
